,,,# of traces,,,,,,,,,,,,,,
# of bits,# of shares,noise,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
32,1,0,0.00,0.10,29.10,87.30,100.00,,,,,,,,,,
,,4,0.00,0.00,0.00,4.10,53.42,97.56,100.00,,,,,,,,
,,8,,0.00,0.00,0.00,0.39,15.33,80.27,99.61,,,,,,,
,,16,,,,0.00,0.00,0.00,0.78,22.95,84.86,99.41,,,,,
,,32,,,,,0.00,0.00,0.00,0.00,0.49,24.02,86.33,99.90,,,
,,64,,,,,,,,0.00,0.00,0.00,0.39,24.12,85.64,100.00,
,,128,,,,,,,,,,0.00,0.00,0.00,0.78,25.29,85.35
,2,0,,,,,0.00,0.00,0.00,0.98,24.61,87.50,99.80,,,,
,,4,,,,,,,0.00,0.00,0.00,0.39,23.83,85.74,99.80,,
,,8,,,,,,,,,0.00,0.00,0.00,0.00,3.22,47.27,95.31
,,16,,,,,,,,,,,,,0.00,0.00,0.00
,3,0,,,,,,,,,,,0.00,0.00,0.00,0.20,17.29
,,4,,,,,,,,,,,,,0.00,0.00,0.00
64,1,0,0.00,0.00,0.00,6.45,77.93,99.90,,,,,,,,,
,,4,,0.00,0.00,0.00,6.05,75.78,99.80,,,,,,,,
,,8,,,,0.00,0.00,1.56,50.49,97.66,100.00,,,,,,
,,16,,,,,,0.00,0.00,3.81,68.75,99.51,,,,,
,,32,,,,,,,0.00,0.00,0.00,5.76,72.07,99.71,,,
,,64,,,,,,,,,0.00,0.00,0.00,5.47,74.51,99.51,
,,128,,,,,,,,,,,0.00,0.00,0.00,6.05,75.00
,2,0,,,,,,,,0.00,0.00,0.00,5.18,75.59,99.51,,
,,4,,,,,,,,,,0.00,0.00,2.54,62.11,99.02,
,,8,,,,,,,,,,,,0.00,0.00,2.34,60.84
,3,0,,,,,,,,,,,,,,,0.00
